image,generated_caption,original_caption,value1,value2
1836335410_de8313a64e.jpg,Legenda finalizada: Fotografia de um homem adulto caucasiano segurando um sabre de luz à noite. Ele usa um casaco cinza com o objeto brilhante em sua mão.,A man dressed in brown holding a light saber,0.13866,-0.16125
1836335410_de8313a64e.jpg,Legenda finalizada: Fotografia de um homem adulto caucasiano segurando um sabre de luz à noite. Ele usa um casaco cinza com o objeto brilhante em sua mão.,a man wearing a black outfit holding on to a glowing sword,0.08773,-0.14868
1836335410_de8313a64e.jpg,Legenda finalizada: Fotografia de um homem adulto caucasiano segurando um sabre de luz à noite. Ele usa um casaco cinza com o objeto brilhante em sua mão.,Man dressed up in black and brown and holding a white light saber,0.13197,-0.11182
1836335410_de8313a64e.jpg,Legenda finalizada: Fotografia de um homem adulto caucasiano segurando um sabre de luz à noite. Ele usa um casaco cinza com o objeto brilhante em sua mão.,The man holds a light Sabre,0.14671,-0.18099
1836335410_de8313a64e.jpg,Legenda finalizada: Fotografia de um homem adulto caucasiano segurando um sabre de luz à noite. Ele usa um casaco cinza com o objeto brilhante em sua mão.,The man is playing with his Star Wars light sword,0.11396,-0.15262
566794036_60f7acdf35.jpg,"Caption: Uma fotografia de um homem sem camisa, de construção muscular, jogando basquete numa quadra ao ar livre. Ele tem cabelos castanhos e usa uma calça preta. Ele segura uma bola de basquete na mão.",A man wearing red shorts dribbles a basketball behind him,0.07844,-0.16910
566794036_60f7acdf35.jpg,"Caption: Uma fotografia de um homem sem camisa, de construção muscular, jogando basquete numa quadra ao ar livre. Ele tem cabelos castanhos e usa uma calça preta. Ele segura uma bola de basquete na mão.",A man with no shirt plays basketball,0.08664,-0.18692
566794036_60f7acdf35.jpg,"Caption: Uma fotografia de um homem sem camisa, de construção muscular, jogando basquete numa quadra ao ar livre. Ele tem cabelos castanhos e usa uma calça preta. Ele segura uma bola de basquete na mão.",An athlete in red shorts is caught frozen during a basketball move,0.05100,-0.18893
566794036_60f7acdf35.jpg,"Caption: Uma fotografia de um homem sem camisa, de construção muscular, jogando basquete numa quadra ao ar livre. Ele tem cabelos castanhos e usa uma calça preta. Ele segura uma bola de basquete na mão.",A shirtless man in red shorts bouncing a basketball on a court,0.06043,-0.11933
566794036_60f7acdf35.jpg,"Caption: Uma fotografia de um homem sem camisa, de construção muscular, jogando basquete numa quadra ao ar livre. Ele tem cabelos castanhos e usa uma calça preta. Ele segura uma bola de basquete na mão.",Man in red shorts bouncing a basketball,0.05497,-0.08777
3004290523_d1319dfdb4.jpg,"Output:
            Um homem de pele africana segurando uma câmera na altura do rosto.",A man in a cast uses a camcorder while another man watches him,0.04525,-0.11949
3004290523_d1319dfdb4.jpg,"Output:
            Um homem de pele africana segurando uma câmera na altura do rosto.",A man makes a video while another watches,0.02856,-0.02747
3004290523_d1319dfdb4.jpg,"Output:
            Um homem de pele africana segurando uma câmera na altura do rosto.",A man with a cast films some video while another man smiles,0.01738,-0.17199
3004290523_d1319dfdb4.jpg,"Output:
            Um homem de pele africana segurando uma câmera na altura do rosto.",A man with a cast is using a camcorder to record an enjoyable event,-0.00838,-0.14134
3004290523_d1319dfdb4.jpg,"Output:
            Um homem de pele africana segurando uma câmera na altura do rosto.",A man with an arm cast films something on video while another man is looking at the camera,0.01361,-0.14895
3021318991_fa28e3bca7.jpg,"Output: Uma mulher de uniforme laranja jogando hóquei de campo ao ar livre, mostrando habilidades atléticas em um cenário gramado competitivo.",A female lawn hockey player hitting the ball,0.00043,-0.14634
3021318991_fa28e3bca7.jpg,"Output: Uma mulher de uniforme laranja jogando hóquei de campo ao ar livre, mostrando habilidades atléticas em um cenário gramado competitivo.",A girl in an orange uniform hits a ball in field hockey,0.10254,-0.13884
3021318991_fa28e3bca7.jpg,"Output: Uma mulher de uniforme laranja jogando hóquei de campo ao ar livre, mostrando habilidades atléticas em um cenário gramado competitivo.",A girl in orange is hitting the ball in field hockey,0.04590,-0.15107
3021318991_fa28e3bca7.jpg,"Output: Uma mulher de uniforme laranja jogando hóquei de campo ao ar livre, mostrando habilidades atléticas em um cenário gramado competitivo.",An athletic girl in an orange uniform is on a playing field of green grass and swinging at a ball,0.15080,-0.19903
3021318991_fa28e3bca7.jpg,"Output: Uma mulher de uniforme laranja jogando hóquei de campo ao ar livre, mostrando habilidades atléticas em um cenário gramado competitivo.",A woman hockey player in an orange strip is striking the ball with her stick,0.04385,-0.23501
416650559_cd08d3cd96.jpg,"Output:
        ""Um homem de pele clara vestido com um traje do Batman de pé em um salão.""",a man dressed in a batman costume,0.26080,0.09673
416650559_cd08d3cd96.jpg,"Output:
        ""Um homem de pele clara vestido com um traje do Batman de pé em um salão.""",A man dressed like late 80 's movie Batman,0.19799,0.16770
416650559_cd08d3cd96.jpg,"Output:
        ""Um homem de pele clara vestido com um traje do Batman de pé em um salão.""",A man is posing dressed in a Batman costume,0.23867,0.05315
416650559_cd08d3cd96.jpg,"Output:
        ""Um homem de pele clara vestido com um traje do Batman de pé em um salão.""",A man is wearing a Batman costume with a cape,0.26807,0.07601
416650559_cd08d3cd96.jpg,"Output:
        ""Um homem de pele clara vestido com um traje do Batman de pé em um salão.""",A person dressed as Batman poses for a picture,0.21923,-0.03286
