image,caption
3004290523_d1319dfdb4.jpg,A man in a cast uses a camcorder while another man watches him .
3004290523_d1319dfdb4.jpg,A man makes a video while another watches .
3004290523_d1319dfdb4.jpg,A man with a cast films some video while another man smiles .
3004290523_d1319dfdb4.jpg,A man with a cast is using a camcorder to record an enjoyable event .
3004290523_d1319dfdb4.jpg,A man with an arm cast films something on video while another man is looking at the camera .
3021318991_fa28e3bca7.jpg,A female lawn hockey player hitting the ball
3021318991_fa28e3bca7.jpg,A girl in an orange uniform hits a ball in field hockey .
3021318991_fa28e3bca7.jpg,A girl in orange is hitting the ball in field hockey .
3021318991_fa28e3bca7.jpg,An athletic girl in an orange uniform is on a playing field of green grass and swinging at a ball .
3021318991_fa28e3bca7.jpg,A woman hockey player in an orange strip is striking the ball with her stick .
416650559_cd08d3cd96.jpg,a man dressed in a batman costume .
416650559_cd08d3cd96.jpg,A man dressed like late 80 's movie Batman .
416650559_cd08d3cd96.jpg,A man is posing dressed in a Batman costume .
416650559_cd08d3cd96.jpg,A man is wearing a Batman costume with a cape .
416650559_cd08d3cd96.jpg,A person dressed as Batman poses for a picture .
1836335410_de8313a64e.jpg,A man dressed in brown holding a light saber .
1836335410_de8313a64e.jpg,a man wearing a black outfit holding on to a glowing sword .
1836335410_de8313a64e.jpg,Man dressed up in black and brown and holding a white light saber .
1836335410_de8313a64e.jpg,The man holds a light Sabre .
1836335410_de8313a64e.jpg,The man is playing with his Star Wars light sword .
2611651553_61f859837e.jpg,A naked woman with her body painted .
2611651553_61f859837e.jpg,A nude lady walks in front of a crowd in body paint .
2611651553_61f859837e.jpg,A shirtless woman with paint on her face and mud on her body .
2611651553_61f859837e.jpg,A topless woman with her face painted is covered in mud .
2611651553_61f859837e.jpg,"A young woman , topless except for paint or mud ."
2683985894_167d267dcb.jpg,A clown in an orange shirt entertains a crowd .
2683985894_167d267dcb.jpg,A girl in a orange shirt and a stripe tie
2683985894_167d267dcb.jpg,A girl in orange shirt and clown makeup stands in a park while others look on .
2683985894_167d267dcb.jpg,The woman dressed as a clown is performing outside for others .
2683985894_167d267dcb.jpg,The young lady appears to be a mime among her peers .
2704379125_9c35650d16.jpg,A black dog follows a group of sheep walking in a field of grass .
2704379125_9c35650d16.jpg,a black sheepdog is guiding sheep along a grassy path .
2704379125_9c35650d16.jpg,A dog chasing sheep down a county road
2704379125_9c35650d16.jpg,A sheepdog is herding sheep down a grassy path .
2704379125_9c35650d16.jpg,Black dog following a herd of sheep down a grassy lane .
272546805_536c719648.jpg,A brown dog and a black dog are playing tug of war with a toy .
272546805_536c719648.jpg,A large brown dog is playing tug-of-war with a large black dog .
272546805_536c719648.jpg,The brown dog and the black dog with green harnesses are in the sand .
272546805_536c719648.jpg,Two brown dogs with green harnesses play tug of war .
272546805_536c719648.jpg,Two dogs play with a toy .
2727051596_be65bfb3d3.jpg,The two children are on an amusement park ride .
2727051596_be65bfb3d3.jpg,The young boy in the orange shirt is sticking his tongue out while riding a ride .
2727051596_be65bfb3d3.jpg,Two boys enjoy a ride at an amusement park .
2727051596_be65bfb3d3.jpg,"Two little boys playing a game , one with his mouth wide open ."
2727051596_be65bfb3d3.jpg,Two little boys ride in a fairground ride .
2998277360_9b4c0192f1.jpg,"A man in a yellow slicker holds a sign saying "" down and out "" ."
2998277360_9b4c0192f1.jpg,"An elderly lady in a yellow raincoat is sitting by a white building , holding up a cardboard sign to a car driving by ."
2998277360_9b4c0192f1.jpg,Elderly woman in yellow parka pan handling
2998277360_9b4c0192f1.jpg,Man with a yellow coat and a cardboard sign .
2998277360_9b4c0192f1.jpg,"Older woman in yellow jacket , holds sign saying "" DOWN AND OUT "" in urban area ."
307994435_592f933a6d.jpg,A man in a red jacket is holding a piece of paper while posing .
307994435_592f933a6d.jpg,An Asian guy giving thumbs up with his eyes closed and tongue out .
307994435_592f933a6d.jpg,An Asian teenager in a red jacket has his thumb up and his tongue sticking out .
307994435_592f933a6d.jpg,Asian man giving thumbs up on street .
307994435_592f933a6d.jpg,Man in red jacket giving a thumbs-up with one hand a holding ticket in other .
391324644_d23fdf06cb.jpg,A guy on inline skates with a white hat is on a yellow rail .
391324644_d23fdf06cb.jpg,a male skater is riding a yellow rail
391324644_d23fdf06cb.jpg,A man Rollerblades across a yellow pole at night .
391324644_d23fdf06cb.jpg,An inline skater boy balances on a yellow rail .
391324644_d23fdf06cb.jpg,A skater does a trick on a yellow handrail .
513269597_c38308feaf.jpg,A black dog carries a bucket in its mouth .
513269597_c38308feaf.jpg,A black dog carrying a hanging flower pot .
513269597_c38308feaf.jpg,A dog next to pine tree biting on a bucket
513269597_c38308feaf.jpg,A furry black dog in a backyard carrying a basket in its mouth .
513269597_c38308feaf.jpg,A furry dog is walking by green trees while carrying something in its mouth .
732468337_a37075225e.jpg,A naked baby and toddler are playing with red fingerpaints .
732468337_a37075225e.jpg,"A naked baby and toddler on the floor covered in paint , the toddler putting her hands on the baby 's head ."
732468337_a37075225e.jpg,A naked baby and toddler smear each other in paint .
732468337_a37075225e.jpg,A naked toddler is covering a naked baby with paint .
732468337_a37075225e.jpg,Two naked young children smear each other with red paint .
795081510_53fd17d101.jpg,"A couple hold each other , standing on a ferry , looking out at a ferry ."
795081510_53fd17d101.jpg,A couple standing on the deck of a boat watching the water .
795081510_53fd17d101.jpg,A man embraces a woman as they look over the railing out over the water at a ship .
795081510_53fd17d101.jpg,Couple overlooking a metal rail with water and a boat int he background .
795081510_53fd17d101.jpg,The couple is together looking at the large ship in the ocean .
918886676_3323fb2a01.jpg,A brown dog drinks from a water bottle .
