image,original_caption,generated_caption,value1,value2
1836335410_de8313a64e.jpg,A man dressed in brown holding a light saber,"An adult man, captured during the night, tightly gripping a light saber in his hand",0.59374,0.65540
1836335410_de8313a64e.jpg,a man wearing a black outfit holding on to a glowing sword,"An adult man, captured during the night, tightly gripping a light saber in his hand",0.41003,0.55036
1836335410_de8313a64e.jpg,Man dressed up in black and brown and holding a white light saber,"An adult man, captured during the night, tightly gripping a light saber in his hand",0.45015,0.54977
1836335410_de8313a64e.jpg,The man holds a light Sabre,"An adult man, captured during the night, tightly gripping a light saber in his hand",0.55215,0.55383
1836335410_de8313a64e.jpg,The man is playing with his Star Wars light sword,"An adult man, captured during the night, tightly gripping a light saber in his hand",0.47858,0.42106
2276314067_7ee246f859.jpg,Two dark colored dogs fighting one another,"Two adorable dogs, being mammals, joyfully engaging with each other in the heart of nature's green, lush field",0.40994,0.30534
2276314067_7ee246f859.jpg,Two dogs are fighting in a field,"Two adorable dogs, being mammals, joyfully engaging with each other in the heart of nature's green, lush field",0.39350,0.36538
2276314067_7ee246f859.jpg,Two gray dogs jump at each other over the tall grass,"Two adorable dogs, being mammals, joyfully engaging with each other in the heart of nature's green, lush field",0.46133,0.34767
2276314067_7ee246f859.jpg,two grey dogs jumping in the air fighting each other,"Two adorable dogs, being mammals, joyfully engaging with each other in the heart of nature's green, lush field",0.44548,0.41436
2276314067_7ee246f859.jpg,Two large black dogs are playing in a grassy field,"Two adorable dogs, being mammals, joyfully engaging with each other in the heart of nature's green, lush field",0.42650,0.45309
2417341107_97dbab9c5e.jpg,A boy in black clothes is doing a cartwheel on the beach,"A woman showcasing her sporty side, doing a handstand on a sunny beach outdoors in the summer",0.44502,0.79487
2417341107_97dbab9c5e.jpg,A kid is doing a hand-stand on the beach,"A woman showcasing her sporty side, doing a handstand on a sunny beach outdoors in the summer",0.55696,0.69224
2417341107_97dbab9c5e.jpg,A person with black shorts and shirt does a handstand on the beach,"A woman showcasing her sporty side, doing a handstand on a sunny beach outdoors in the summer",0.51612,0.69475
2417341107_97dbab9c5e.jpg,A young boy doing a handstand on the beach,"A woman showcasing her sporty side, doing a handstand on a sunny beach outdoors in the summer",0.56448,0.83270
2417341107_97dbab9c5e.jpg,The person is doing a handstand on the beach,"A woman showcasing her sporty side, doing a handstand on a sunny beach outdoors in the summer",0.51165,0.70576
2437266971_b91a8f9a00.jpg,A man hands out fliers while wearing a mask,"A businessman in a suit, identified as a man wearing a mask, holds a piece of paper",0.52862,0.65760
2437266971_b91a8f9a00.jpg,A man in a blue shirt and tie is wearing a white mask whilst handing out papers,"A businessman in a suit, identified as a man wearing a mask, holds a piece of paper",0.58346,0.71635
2437266971_b91a8f9a00.jpg,A man in a button up shirt and tie is wearing a smiling mask,"A businessman in a suit, identified as a man wearing a mask, holds a piece of paper",0.55548,0.70735
2437266971_b91a8f9a00.jpg,A masked man in blue shirt and a tie holding papers in front of him,"A businessman in a suit, identified as a man wearing a mask, holds a piece of paper",0.50610,0.68052
2437266971_b91a8f9a00.jpg,Man in business attire with Guy Fawkes mask holding paper at protest,"A businessman in a suit, identified as a man wearing a mask, holds a piece of paper",0.58220,0.34342
2521878609_146143708e.jpg,A person eats noodles,"A young boy delightfully enjoying a plate of pasta, a delectable food item",0.40379,0.57681
2521878609_146143708e.jpg,A young boy eats noodles with large utensils,"A young boy delightfully enjoying a plate of pasta, a delectable food item",0.57010,0.67766
2521878609_146143708e.jpg,A young boy wearing a gray shirt eats pasta,"A young boy delightfully enjoying a plate of pasta, a delectable food item",0.57728,0.66300
2521878609_146143708e.jpg,Boy sticks huge pile of spaghetti in mouth,"A young boy delightfully enjoying a plate of pasta, a delectable food item",0.51665,0.36825
2521878609_146143708e.jpg,kid eating pasta,"A young boy delightfully enjoying a plate of pasta, a delectable food item",0.56873,0.46420
2579268572_d78f8436cb.jpg,A group of people riding a roller coaster upside down,"A bunch of people on a roller coaster, outdoors",0.74781,0.75223
2579268572_d78f8436cb.jpg,A group of people riding a yellow roller coaster,"A bunch of people on a roller coaster, outdoors",0.67270,0.76140
2579268572_d78f8436cb.jpg,Many people on a roller coaster ride are flipped upside down over a white track,"A bunch of people on a roller coaster, outdoors",0.61097,0.67809
