image,keywords,caption
1836335410_de8313a64e.jpg,"[('men', 0.9751176480675735), ('adult', 0.7477162835163559), ('night', 0.622571383158957), ('one person', 0.6066317793686937), ('males', 0.412064194175741), ('caucasian ethnicity', 0.35624362891612493), ('young adult', 0.2529990539492328), ('portrait', 0.21919779613105825), ('outdoors', 0.177262630408636), ('weapon', 0.15451485395738473)]","Legenda finalizada: Fotografia de um homem adulto caucasiano segurando um sabre de luz à noite. Ele usa um casaco cinza com o objeto brilhante em sua mão."
566794036_60f7acdf35.jpg,"[('sport', 0.9978197165115575), ('men', 0.946823486446094), ('playing', 0.9173717379468324), ('athlete', 0.9119943673493444), ('healthy lifestyle', 0.8191073995488315), ('one person', 0.80848788653337), ('outdoors', 0.8072359422254248), ('ball', 0.8054441821000441), ('muscular build', 0.7867344733174491), ('exercising', 0.7503665493973319)]","Caption: Uma fotografia de um homem sem camisa, de construção muscular, jogando basquete numa quadra ao ar livre. Ele tem cabelos castanhos e usa uma calça preta. Ele segura uma bola de basquete na mão."
3004290523_d1319dfdb4.jpg,"[('men', 0.9060679515670008), ('african ethnicity', 0.7818229486359335), ('adult', 0.7256842016346096)]","Output: Um homem de pele africana segurando uma câmera na altura do rosto."
3021318991_fa28e3bca7.jpg,"[('sport', 0.9774066979726598), ('outdoors', 0.8333236018572429), ('athlete', 0.7478138656303871), ('playing', 0.7310018315235722), ('grass', 0.6839744306319099), ('competitive sport', 0.6787136710706592)]","Output: Uma mulher de uniforme laranja jogando hóquei de campo ao ar livre, mostrando habilidades atléticas em um cenário gramado competitivo."
416650559_cd08d3cd96-fail.jpg,[],"Output: Um homem vestido de Batman de pé em um corredor. Ele é um homem branco de cabelos pretos e compridos, vestindo um macacão preto e amarelo com uma capa vermelha. Ele segura uma arma escura. O ambiente é escuro e sombrio."
416650559_cd08d3cd96-fail.jpg,[],"Output: ""Um homem de pele clara vestido com um traje do Batman de pé em um salão."""
416650559_cd08d3cd96.jpg,[],Output: Um homem vestindo um traje de Batman está parado em um corredor. Ele tem cabelos louros e pele clara. Está vestido com uma capa fina preto e vermelho e usando uma máscara de morcego.
3004290523_d1319dfdb4.jpg,"[('men', 0.906067931275475), ('african ethnicity', 0.7818230299728145), ('adult', 0.7256842965569706)]",Output: Um homem de etnia africana segurando uma câmera próxima ao seu rosto.
3021318991_fa28e3bca7.jpg,"[('sport', 0.9774066927076988), ('outdoors', 0.8333235521843796), ('athlete', 0.7478138431489105), ('playing', 0.7310018549646662), ('grass', 0.6839743275619236), ('competitive sport', 0.6787136190807621)]",Output: Uma mulher com uniforme laranja jogando hóquei de campo.
416650559_cd08d3cd96.jpg,[],Output: Um homem vestido como o Batman se encontra em um corredor.
