image,keywords,caption
1836335410_de8313a64e.jpg,,a man holding a light saber in his hand
2611651553_61f859837e.jpg,,a woman with face paint on her body
2683985894_167d267dcb.jpg,,a woman dressed as a clown on a cell phone
2704379125_9c35650d16.jpg,,a herd of sheep walking across a lush green field
272546805_536c719648.jpg,,a couple of dogs that are standing in the dirt
2727051596_be65bfb3d3.jpg,,two boys in a play area with a colorful umbrella
2998277360_9b4c0192f1.jpg,,a woman sitting on a curb holding a sign
3004290523_d1319dfdb4.jpg,,a man holding a camera up to his face
3021318991_fa28e3bca7.jpg,,a woman in an orange uniform playing field hockey
307994435_592f933a6d.jpg,,a man in a red jacket giving a thumbs up
391324644_d23fdf06cb.jpg,,a man riding a skateboard on top of a yellow rail
416650559_cd08d3cd96.jpg,,a man in a batman costume standing in a hall
513269597_c38308feaf.jpg,,a black dog carrying a white frisbee in its mouth
732468337_a37075225e.jpg,,two young children sitting on the floor covered in paint
795081510_53fd17d101.jpg,,a man and a little girl looking out at the ocean
918886676_3323fb2a01.jpg,,a dog drinking water out of a faucet
