image,original_caption,generated_caption,value1,value2
1836335410_de8313a64e.jpg,A man dressed in brown holding a light saber,a man holding a light saber in his hand,0.82127,0.85815
1836335410_de8313a64e.jpg,a man wearing a black outfit holding on to a glowing sword,a man holding a light saber in his hand,0.53319,0.76248
1836335410_de8313a64e.jpg,Man dressed up in black and brown and holding a white light saber,a man holding a light saber in his hand,0.62049,0.64085
1836335410_de8313a64e.jpg,The man holds a light Sabre,a man holding a light saber in his hand,0.72611,0.69625
1836335410_de8313a64e.jpg,The man is playing with his Star Wars light sword,a man holding a light saber in his hand,0.55560,0.55830
2276314067_7ee246f859.jpg,Two dark colored dogs fighting one another,two dogs playing with each other in a field,0.53954,0.59649
2276314067_7ee246f859.jpg,Two dogs are fighting in a field,two dogs playing with each other in a field,0.81329,0.73233
2276314067_7ee246f859.jpg,Two gray dogs jump at each other over the tall grass,two dogs playing with each other in a field,0.64730,0.63494
2276314067_7ee246f859.jpg,two grey dogs jumping in the air fighting each other,two dogs playing with each other in a field,0.63072,0.69477
2276314067_7ee246f859.jpg,Two large black dogs are playing in a grassy field,two dogs playing with each other in a field,0.71355,0.72218
2417341107_97dbab9c5e.jpg,A boy in black clothes is doing a cartwheel on the beach,a person doing a handstand on the beach,0.55873,0.81188
2417341107_97dbab9c5e.jpg,A kid is doing a hand-stand on the beach,a person doing a handstand on the beach,0.85772,0.82029
2417341107_97dbab9c5e.jpg,A person with black shorts and shirt does a handstand on the beach,a person doing a handstand on the beach,0.61719,0.78442
2417341107_97dbab9c5e.jpg,A young boy doing a handstand on the beach,a person doing a handstand on the beach,0.80284,0.89216
2417341107_97dbab9c5e.jpg,The person is doing a handstand on the beach,a person doing a handstand on the beach,0.91481,0.90867
2437266971_b91a8f9a00.jpg,A man hands out fliers while wearing a mask,a man wearing a mask holding a piece of paper,0.74169,0.76348
2437266971_b91a8f9a00.jpg,A man in a blue shirt and tie is wearing a white mask whilst handing out papers,a man wearing a mask holding a piece of paper,0.58653,0.82758
2437266971_b91a8f9a00.jpg,A man in a button up shirt and tie is wearing a smiling mask,a man wearing a mask holding a piece of paper,0.52317,0.81695
2437266971_b91a8f9a00.jpg,A masked man in blue shirt and a tie holding papers in front of him,a man wearing a mask holding a piece of paper,0.54122,0.78177
2437266971_b91a8f9a00.jpg,Man in business attire with Guy Fawkes mask holding paper at protest,a man wearing a mask holding a piece of paper,0.56397,0.48669
2521878609_146143708e.jpg,A person eats noodles,a young boy eating a plate of noodles with a fork,0.58253,0.64552
2521878609_146143708e.jpg,A young boy eats noodles with large utensils,a young boy eating a plate of noodles with a fork,0.77733,0.79146
2521878609_146143708e.jpg,A young boy wearing a gray shirt eats pasta,a young boy eating a plate of noodles with a fork,0.59857,0.74194
2521878609_146143708e.jpg,Boy sticks huge pile of spaghetti in mouth,a young boy eating a plate of noodles with a fork,0.54400,0.47792
2521878609_146143708e.jpg,kid eating pasta,a young boy eating a plate of noodles with a fork,0.56684,0.52888
2579268572_d78f8436cb.jpg,A group of people riding a roller coaster upside down,a roller coaster with a bunch of people on it,0.80228,0.77796
2579268572_d78f8436cb.jpg,A group of people riding a yellow roller coaster,a roller coaster with a bunch of people on it,0.74430,0.78204
2579268572_d78f8436cb.jpg,Many people on a roller coaster ride are flipped upside down over a white track,a roller coaster with a bunch of people on it,0.59624,0.76776
2579268572_d78f8436cb.jpg,People ride upside-down on a roller coaster,a roller coaster with a bunch of people on it,0.75917,0.62226
2579268572_d78f8436cb.jpg,There are multiple people going over a loop on an inverted roller coaster,a roller coaster with a bunch of people on it,0.67146,0.74758
2611651553_61f859837e.jpg,A naked woman with her body painted,a woman with face paint on her body,0.66492,0.81747
2611651553_61f859837e.jpg,A nude lady walks in front of a crowd in body paint,a woman with face paint on her body,0.51061,0.66729
2611651553_61f859837e.jpg,A shirtless woman with paint on her face and mud on her body,a woman with face paint on her body,0.71074,0.91384
2611651553_61f859837e.jpg,A topless woman with her face painted is covered in mud,a woman with face paint on her body,0.53242,0.75417
2611651553_61f859837e.jpg,"A young woman , topless except for paint or mud",a woman with face paint on her body,0.41195,0.50290
2683985894_167d267dcb.jpg,A clown in an orange shirt entertains a crowd,a woman dressed as a clown on a cell phone,0.58098,0.68384
2683985894_167d267dcb.jpg,A girl in a orange shirt and a stripe tie,a woman dressed as a clown on a cell phone,0.39340,0.69758
2683985894_167d267dcb.jpg,A girl in orange shirt and clown makeup stands in a park while others look on,a woman dressed as a clown on a cell phone,0.57945,0.61206
2683985894_167d267dcb.jpg,The woman dressed as a clown is performing outside for others,a woman dressed as a clown on a cell phone,0.66737,0.63600
2683985894_167d267dcb.jpg,The young lady appears to be a mime among her peers,a woman dressed as a clown on a cell phone,0.23070,0.55950
2704379125_9c35650d16.jpg,A black dog follows a group of sheep walking in a field of grass,a herd of sheep walking across a lush green field,0.66448,0.84503
2704379125_9c35650d16.jpg,a black sheepdog is guiding sheep along a grassy path,a herd of sheep walking across a lush green field,0.56550,0.78895
2704379125_9c35650d16.jpg,A dog chasing sheep down a county road,a herd of sheep walking across a lush green field,0.57406,0.69828
2704379125_9c35650d16.jpg,A sheepdog is herding sheep down a grassy path,a herd of sheep walking across a lush green field,0.61643,0.78598
2704379125_9c35650d16.jpg,Black dog following a herd of sheep down a grassy lane,a herd of sheep walking across a lush green field,0.64425,0.79249
272546805_536c719648.jpg,A brown dog and a black dog are playing tug of war with a toy,a couple of dogs that are standing in the dirt,0.41872,0.56016
272546805_536c719648.jpg,A large brown dog is playing tug-of-war with a large black dog,a couple of dogs that are standing in the dirt,0.40050,0.47280
272546805_536c719648.jpg,The brown dog and the black dog with green harnesses are in the sand,a couple of dogs that are standing in the dirt,0.38489,0.62160
272546805_536c719648.jpg,Two brown dogs with green harnesses play tug of war,a couple of dogs that are standing in the dirt,0.35415,0.48995
272546805_536c719648.jpg,Two dogs play with a toy,a couple of dogs that are standing in the dirt,0.42972,0.45839
2727051596_be65bfb3d3.jpg,The two children are on an amusement park ride,two boys in a play area with a colorful umbrella,0.38756,0.43115
2727051596_be65bfb3d3.jpg,The young boy in the orange shirt is sticking his tongue out while riding a ride,two boys in a play area with a colorful umbrella,0.24400,0.56371
2727051596_be65bfb3d3.jpg,Two boys enjoy a ride at an amusement park,two boys in a play area with a colorful umbrella,0.49975,0.57449
2727051596_be65bfb3d3.jpg,"Two little boys playing a game , one with his mouth wide open",two boys in a play area with a colorful umbrella,0.39804,0.73749
2727051596_be65bfb3d3.jpg,Two little boys ride in a fairground ride,two boys in a play area with a colorful umbrella,0.47208,0.58478
2754898893_95239c1f19.jpg,A woman smiles in front of an ocean view,a woman standing on top of a lush green hillside,0.45232,0.63294
2754898893_95239c1f19.jpg,A woman standing in front of a beach scene and smiling,a woman standing on top of a lush green hillside,0.48341,0.74702
2754898893_95239c1f19.jpg,a young woman posing in front of a beautiful beach scene,a woman standing on top of a lush green hillside,0.39252,0.77645
2754898893_95239c1f19.jpg,The woman in glasses is smiling with the ocean in the background,a woman standing on top of a lush green hillside,0.32367,0.46533
