image,keywords,caption
1836335410_de8313a64e.jpg,"[('men', 0.9751176307131599), ('adult', 0.7477162610291151), ('night', 0.6225716072497511), ('one person', 0.6066318647093085)]",A man holding a light saber in his hand
2276314067_7ee246f859.jpg,"[('animal', 0.9926922529326966), ('outdoors', 0.9649134865136096), ('mammal', 0.9559961362535686), ('nature', 0.9443984153638965), ('cute', 0.8893783907720954), ('grass', 0.819827560138042), ('farm', 0.6586001378998135), ('pets', 0.6079208145156355)]","Two dogs playing with each other in a field. They are animals, outdoors, and mammals. The scene is in nature, with cute dogs on the grass. The dogs seem to be on a farm. They could be considered pets"
2417341107_97dbab9c5e.jpg,"[('outdoors', 0.8497106319551783), ('sport', 0.691241067764686), ('summer', 0.6447487091554891), ('women', 0.6069089028967035)]","A person doing a handstand on the beach, outdoors, in the summer"
2437266971_b91a8f9a00.jpg,"[('businessman', 0.9564135364578273), ('men', 0.9123552074111266), ('business', 0.6822009351318131), ('business person', 0.6112125574805191), ('suit', 0.6081492386546299)]",A man wearing a mask holding a piece of paper
2521878609_146143708e.jpg,"[('food', 0.9071355481631077), ('pasta', 0.9017886766537881), ('one person', 0.7652642075878531)]",A young boy eating a plate of noodles with a fork
2579268572_d78f8436cb.jpg,"[('outdoors', 0.8197248977082019)]","A roller coaster with a bunch of people on it, outdoors"
2611651553_61f859837e.jpg,"[('women', 0.8502408344636321), ('wet', 0.6271701731757618)]",A woman with face paint on her body
2683985894_167d267dcb.jpg,"[('outdoors', 0.9816180535065623), ('caucasian ethnicity', 0.848258282662286), ('women', 0.7936781480642002), ('lifestyles', 0.7043016946766529), ('adult', 0.6557884189931401)]",A woman dressed as a clown on a cell phone in an outdoors environment
2704379125_9c35650d16.jpg,"[('grass', 0.9786194272253073), ('farm', 0.9541577176625733), ('nature', 0.946122567632783), ('animal', 0.9090186312658637), ('meadow', 0.8999899180125085), ('rural scene', 0.870548940162184), ('outdoors', 0.8596224557228873), ('agriculture', 0.8505501331187282), ('pasture', 0.7920344341780342), ('livestock', 0.7284639383245799)]",A herd of sheep walking across a lush green field
272546805_536c719648.jpg,"[('dog', 0.9996698513666817), ('animal', 0.9653239768728716), ('pets', 0.9541752345433907), ('outdoors', 0.9302860161280309), ('canine', 0.8598149771903987), ('purebred dog', 0.8590189506549863), ('cute', 0.8168461803791746), ('puppy', 0.7926743397344919), ('friendship', 0.6511158670161895)]",A couple of dogs standing in the dirt
2727051596_be65bfb3d3.jpg,"[('child', 0.9749953430543051), ('boys', 0.9125791303019024), ('childhood', 0.8086918914137882), ('fun', 0.7812413608039839), ('smiling', 0.6865150716677872), ('caucasian ethnicity', 0.6803548145482947)]",Two boys in a play area with a colorful umbrella
2754898893_95239c1f19.jpg,"[('women', 0.9904878843194143), ('smiling', 0.9881814232603547), ('adult', 0.9516203163079261), ('outdoors', 0.941773783063417), ('one person', 0.9033336454133886), ('summer', 0.8704632332658867), ('cheerful', 0.8291664158804823), ('happiness', 0.7584797767434819), ('nature', 0.7553233424796718), ('looking at camera', 0.6745467399845718)]",A woman standing on top of a lush green hillside
2771424045_1fdf9617eb.jpg,"[('men', 0.8999506830335938), ('smiling', 0.8736270780295412), ('women', 0.8728495659359636), ('adult', 0.8588596799495117), ('outdoors', 0.7877837948648548)]",A man and a woman with painted faces pose for a picture
2836360729_6500249fe6.jpg,"[('cultures', 0.6024700124580126)]",A man is covered in seaweed on the beach
2876993733_cb26107d18.jpg,"[('seat', 0.9778426287400172), ('chair', 0.9425913104793863), ('sport', 0.9359129774926671), ('in a row', 0.8732245664357235), ('sitting', 0.8211142511423297), ('bleachers', 0.670538574120739), ('audience', 0.6312139351437459)]","A man in a green raincoat sitting in a stadium, surrounded by seats and chairs"
